Year,Primary Type,Total_Crimes
2001,ASSAULT,31388
2001,BATTERY,93472
2001,BURGLARY,26014
2001,CRIMINAL DAMAGE,55865
2001,DECEPTIVE PRACTICE,14959
2001,MOTOR VEHICLE THEFT,27556
2001,NARCOTICS,50568
2001,OTHER OFFENSE,29669
2001,ROBBERY,18441
2001,THEFT,99291
2002,ASSAULT,31524
2002,BATTERY,94152
2002,BURGLARY,25623
2002,CRIMINAL DAMAGE,55942
2002,DECEPTIVE PRACTICE,13740
2002,MOTOR VEHICLE THEFT,25121
2002,NARCOTICS,51789
2002,OTHER OFFENSE,32602
2002,ROBBERY,18523
2002,THEFT,98335
2003,ASSAULT,29477
2003,BATTERY,88380
2003,BURGLARY,25157
2003,CRIMINAL DAMAGE,55011
2003,DECEPTIVE PRACTICE,13464
2003,MOTOR VEHICLE THEFT,22749
2003,NARCOTICS,54288
2003,OTHER OFFENSE,31149
2003,ROBBERY,17332
2003,THEFT,98876
2004,ASSAULT,28850
2004,BATTERY,87135
2004,BURGLARY,24564
2004,CRIMINAL DAMAGE,53164
2004,DECEPTIVE PRACTICE,13263
2004,MOTOR VEHICLE THEFT,22805
2004,NARCOTICS,57060
2004,OTHER OFFENSE,29533
2004,ROBBERY,15978
2004,THEFT,95464
2005,ASSAULT,27067
2005,BATTERY,83964
2005,BURGLARY,25503
2005,CRIMINAL DAMAGE,54548
2005,DECEPTIVE PRACTICE,13593
2005,MOTOR VEHICLE THEFT,22497
2005,NARCOTICS,56234
2005,OTHER OFFENSE,28028
2005,ROBBERY,16047
2005,THEFT,85684
2006,ASSAULT,25945
2006,BATTERY,80666
2006,BURGLARY,24324
2006,CRIMINAL DAMAGE,57124
2006,DECEPTIVE PRACTICE,13612
2006,MOTOR VEHICLE THEFT,21818
2006,NARCOTICS,55813
2006,OTHER OFFENSE,27101
2006,ROBBERY,15969
2006,THEFT,86242
2007,ASSAULT,26313
2007,BATTERY,79595
2007,BURGLARY,24858
2007,CRIMINAL DAMAGE,53749
2007,DECEPTIVE PRACTICE,14181
2007,MOTOR VEHICLE THEFT,18573
2007,NARCOTICS,54454
2007,OTHER OFFENSE,26863
2007,ROBBERY,15450
2007,THEFT,85156
2008,ASSAULT,25448
2008,BATTERY,75930
2008,BURGLARY,26218
2008,CRIMINAL DAMAGE,52843
2008,DECEPTIVE PRACTICE,14943
2008,MOTOR VEHICLE THEFT,18881
2008,NARCOTICS,46506
2008,OTHER OFFENSE,26532
2008,ROBBERY,16703
2008,THEFT,88437
2009,ASSAULT,22861
2009,BATTERY,68460
2009,BURGLARY,26767
2009,CRIMINAL DAMAGE,47725
2009,DECEPTIVE PRACTICE,13896
2009,MOTOR VEHICLE THEFT,15482
2009,NARCOTICS,43543
2009,OTHER OFFENSE,25601
2009,ROBBERY,15981
2009,THEFT,80977
2010,ASSAULT,21537
2010,BATTERY,65403
2010,BURGLARY,26422
2010,CRIMINAL DAMAGE,40654
2010,DECEPTIVE PRACTICE,12594
2010,MOTOR VEHICLE THEFT,19029
2010,NARCOTICS,43398
2010,OTHER OFFENSE,22012
