Year,Primary Type,Arrest_Rate
2001,ASSAULT,0.22782592073403848
2001,BATTERY,0.21896396781924
2001,BURGLARY,0.06515722303375106
2001,CRIMINAL DAMAGE,0.08141054327396402
2001,DECEPTIVE PRACTICE,0.3201417207032556
2001,MOTOR VEHICLE THEFT,0.12400203222528669
2001,NARCOTICS,0.9998417971839899
2001,OTHER OFFENSE,0.17860393002797534
2001,ROBBERY,0.09977766932378938
2001,THEFT,0.15657008188053298
2002,ASSAULT,0.23290191600050755
2002,BATTERY,0.22654855977568186
2002,BURGLARY,0.065058736291613
2002,CRIMINAL DAMAGE,0.07870651746451682
2002,DECEPTIVE PRACTICE,0.2770014556040757
2002,MOTOR VEHICLE THEFT,0.12591059273118108
2002,NARCOTICS,0.9998455270424221
2002,OTHER OFFENSE,0.1748665726029078
2002,ROBBERY,0.09507099281973762
2002,THEFT,0.13928916459043067
2003,ASSAULT,0.23442005631509313
2003,BATTERY,0.23150033944331297
2003,BURGLARY,0.06419684382080534
2003,CRIMINAL DAMAGE,0.07380342113395502
2003,DECEPTIVE PRACTICE,0.26359180035650626
2003,MOTOR VEHICLE THEFT,0.12044485471888874
2003,NARCOTICS,0.9999078986147951
2003,OTHER OFFENSE,0.1879996147548878
2003,ROBBERY,0.09208400646203554
2003,THEFT,0.13035519236215057
2004,ASSAULT,0.24280762564991334
2004,BATTERY,0.23776897917025305
2004,BURGLARY,0.056098355316723664
2004,CRIMINAL DAMAGE,0.07458054322473855
2004,DECEPTIVE PRACTICE,0.2482093040790168
2004,MOTOR VEHICLE THEFT,0.11023898267923701
2004,NARCOTICS,0.9995443392919734
2004,OTHER OFFENSE,0.18237226153794062
2004,ROBBERY,0.0925647765677807
2004,THEFT,0.12641414564652645
2005,ASSAULT,0.24498466767650645
2005,BATTERY,0.23812586346529466
2005,BURGLARY,0.055405246441595106
2005,CRIMINAL DAMAGE,0.07485150692967661
2005,DECEPTIVE PRACTICE,0.23563598911204298
2005,MOTOR VEHICLE THEFT,0.1041472196292839
2005,NARCOTICS,0.9979905395312444
2005,OTHER OFFENSE,0.16861709718852577
2005,ROBBERY,0.10219978812239047
2005,THEFT,0.1323234209420662
2006,ASSAULT,0.24235883599922914
2006,BATTERY,0.23420028264696402
2006,BURGLARY,0.06409307679657951
2006,CRIMINAL DAMAGE,0.0723863875078776
2006,DECEPTIVE PRACTICE,0.2097414046429621
2006,MOTOR VEHICLE THEFT,0.09111742597854983
2006,NARCOTICS,0.9896619067242399
2006,OTHER OFFENSE,0.14796501974096896
2006,ROBBERY,0.10858538418185235
2006,THEFT,0.11720507409382899
2007,ASSAULT,0.2489643902253639
2007,BATTERY,0.2435328852314844
2007,BURGLARY,0.062273714699493124
2007,CRIMINAL DAMAGE,0.07430835922528792
2007,DECEPTIVE PRACTICE,0.20118468373175374
2007,MOTOR VEHICLE THEFT,0.09578420287514133
2007,NARCOTICS,0.9779079590112756
2007,OTHER OFFENSE,0.15746565908498678
2007,ROBBERY,0.10453074433656957
2007,THEFT,0.1148832730518108
2008,ASSAULT,0.20885727758566489
2008,BATTERY,0.20443829843276703
2008,BURGLARY,0.05923411396750324
2008,CRIMINAL DAMAGE,0.06439831198077324
2008,DECEPTIVE PRACTICE,0.1454192598541123
2008,MOTOR VEHICLE THEFT,0.08082199036068005
2008,NARCOTICS,0.9779813357416247
2008,OTHER OFFENSE,0.1317277250113071
2008,ROBBERY,0.10105968987607017
2008,THEFT,0.10506914526725239
2009,ASSAULT,0.24933292506889462
2009,BATTERY,0.23846041484078295
2009,BURGLARY,0.05282624126723204
2009,CRIMINAL DAMAGE,0.06851754845468831
2009,DECEPTIVE PRACTICE,0.1769573978123201
2009,MOTOR VEHICLE THEFT,0.08396847952460923
2009,NARCOTICS,0.9924672163149071
2009,OTHER OFFENSE,0.16421233545564626
2009,ROBBERY,0.09780364182466679
2009,THEFT,0.12226928634056584
2010,ASSAULT,0.2345266285926545
2010,BATTERY,0.21830802868369953
2010,BURGLARY,0.05222920293694648
2010,CRIMINAL DAMAGE,0.06496285728341615
2010,DECEPTIVE PRACTICE,0.16515801175162775
2010,MOTOR VEHICLE THEFT,0.05502128330443008
2010,NARCOTICS,0.9977187888842803
2010,OTHER OFFENSE,0.14850990368889697
2010,ROBBERY,0.09541155866900175
2010,THEFT,0.10220433049323849
2011,ASSAULT,0.25398069668316103
2011,BATTERY,0.2338405557393318
2011,BURGLARY,0.0478587528174305
2011,CRIMINAL DAMAGE,0.06919182448903057
2011,DECEPTIVE PRACTICE,0.19358632585855418
2011,MOTOR VEHICLE THEFT,0.04884464617289045
2011,NARCOTICS,0.9984716609677754
2011,OTHER OFFENSE,0.15707428118968675
2011,ROBBERY,0.09461488950868913
2011,THEFT,0.11267680598246245
2012,ASSAULT,0.24075376884422112
2012,BATTERY,0.22096326861936008
2012,BURGLARY,0.05638241989143758
