Hour,Primary Type,Total_Crimes
0,ASSAULT,20061
0,BATTERY,79898
0,BURGLARY,21624
0,CRIMINAL DAMAGE,71305
0,DECEPTIVE PRACTICE,48916
0,MOTOR VEHICLE THEFT,28671
0,NARCOTICS,25716
0,OTHER OFFENSE,31929
0,ROBBERY,16416
0,THEFT,101614
1,ASSAULT,14784
1,BATTERY,73310
1,BURGLARY,11285
1,CRIMINAL DAMAGE,41548
1,DECEPTIVE PRACTICE,5059
1,MOTOR VEHICLE THEFT,15165
1,NARCOTICS,15148
1,OTHER OFFENSE,13153
1,ROBBERY,15282
1,THEFT,41088
2,ASSAULT,12218
2,BATTERY,65206
2,BURGLARY,10943
2,CRIMINAL DAMAGE,36015
2,DECEPTIVE PRACTICE,4332
2,MOTOR VEHICLE THEFT,12495
2,NARCOTICS,9626
2,OTHER OFFENSE,10506
2,ROBBERY,13843
2,THEFT,33552
3,ASSAULT,9047
3,BATTERY,52595
3,BURGLARY,10780
3,CRIMINAL DAMAGE,30617
3,DECEPTIVE PRACTICE,3670
3,MOTOR VEHICLE THEFT,10292
3,NARCOTICS,6542
3,OTHER OFFENSE,7913
3,ROBBERY,11872
3,THEFT,27507
4,ASSAULT,6889
4,BATTERY,37211
4,BURGLARY,10358
4,CRIMINAL DAMAGE,24092
4,DECEPTIVE PRACTICE,2826
4,MOTOR VEHICLE THEFT,8388
4,NARCOTICS,4064
4,OTHER OFFENSE,5966
4,ROBBERY,9854
4,THEFT,21442
5,ASSAULT,5798
5,BATTERY,25911
5,BURGLARY,11037
5,CRIMINAL DAMAGE,19457
5,DECEPTIVE PRACTICE,2453
5,MOTOR VEHICLE THEFT,8987
5,NARCOTICS,2036
5,OTHER OFFENSE,5674
5,ROBBERY,7985
5,THEFT,20801
6,ASSAULT,6984
6,BATTERY,22654
6,BURGLARY,14589
6,CRIMINAL DAMAGE,19710
6,DECEPTIVE PRACTICE,3383
6,MOTOR VEHICLE THEFT,11396
6,NARCOTICS,4687
6,OTHER OFFENSE,8047
6,ROBBERY,6513
6,THEFT,28565
7,ASSAULT,11682
7,BATTERY,28846
7,BURGLARY,22716
7,CRIMINAL DAMAGE,25395
7,DECEPTIVE PRACTICE,6064
7,MOTOR VEHICLE THEFT,14478
7,NARCOTICS,5801
7,OTHER OFFENSE,13241
7,ROBBERY,5861
7,THEFT,44931
8,ASSAULT,20426
8,BATTERY,42672
8,BURGLARY,28264
8,CRIMINAL DAMAGE,31510
8,DECEPTIVE PRACTICE,17668
8,MOTOR VEHICLE THEFT,16467
8,NARCOTICS,11706
8,OTHER OFFENSE,22425
8,ROBBERY,6548
8,THEFT,67547
9,ASSAULT,24979
9,BATTERY,49708
9,BURGLARY,25591
9,CRIMINAL DAMAGE,32820
9,DECEPTIVE PRACTICE,42016
9,MOTOR VEHICLE THEFT,17055
9,NARCOTICS,18248
9,OTHER OFFENSE,33043
9,ROBBERY,7508
9,THEFT,91022
10,ASSAULT,27938
10,BATTERY,55560
10,BURGLARY,23112
10,CRIMINAL DAMAGE,30738
10,DECEPTIVE PRACTICE,25005
10,MOTOR VEHICLE THEFT,14547
10,NARCOTICS,34216
10,OTHER OFFENSE,30284
10,ROBBERY,8968
10,THEFT,84009
11,ASSAULT,30320
11,BATTERY,62325
11,BURGLARY,21145
11,CRIMINAL DAMAGE,28612
11,DECEPTIVE PRACTICE,18809
11,MOTOR VEHICLE THEFT,12509
11,NARCOTICS,51360
11,OTHER OFFENSE,27303
11,ROBBERY,10471
11,THEFT,84434
12,ASSAULT,32920
12,BATTERY,67951
12,BURGLARY,25631
12,CRIMINAL DAMAGE,36038
12,DECEPTIVE PRACTICE,48063
12,MOTOR VEHICLE THEFT,18003
12,NARCOTICS,51007
12,OTHER OFFENSE,37349
12,ROBBERY,11508
12,THEFT,125919
13,ASSAULT,31412
13,BATTERY,66491
13,BURGLARY,20419
13,CRIMINAL DAMAGE,30637
13,DECEPTIVE PRACTICE,21980
13,MOTOR VEHICLE THEFT,13212
13,NARCOTICS,49509
13,OTHER OFFENSE,25066
13,ROBBERY,11988
13,THEFT,100911
14,ASSAULT,35033
14,BATTERY,75973
14,BURGLARY,21205
14,CRIMINAL DAMAGE,34716
14,DECEPTIVE PRACTICE,22377
14,MOTOR VEHICLE THEFT,14999
14,NARCOTICS,45552
14,OTHER OFFENSE,25231
14,ROBBERY,13280
14,THEFT,106540
15,ASSAULT,38006
15,BATTERY,84281
15,BURGLARY,21583
15,CRIMINAL DAMAGE,40309
15,DECEPTIVE PRACTICE,22954
15,MOTOR VEHICLE THEFT,17504
15,NARCOTICS,39188
15,OTHER OFFENSE,27346
15,ROBBERY,15240
15,THEFT,112925
16,ASSAULT,34949
16,BATTERY,77565
16,BURGLARY,20706
16,CRIMINAL DAMAGE,42852
16,DECEPTIVE PRACTICE,20093
16,MOTOR VEHICLE THEFT,18543
16,NARCOTICS,34161
16,OTHER OFFENSE,26626
16,ROBBERY,15685
16,THEFT,107600
17,ASSAULT,33827
17,BATTERY,76792
17,BURGLARY,21867
17,CRIMINAL DAMAGE,49267
17,DECEPTIVE PRACTICE,18589
17,MOTOR VEHICLE THEFT,21372
17,NARCOTICS,30630
17,OTHER OFFENSE,26823
17,ROBBERY,15931
17,THEFT,110080
18,ASSAULT,33325
18,BATTERY,79824
18,BURGLARY,21693
18,CRIMINAL DAMAGE,54520
18,DECEPTIVE PRACTICE,15303
18,MOTOR VEHICLE THEFT,25014
18,NARCOTICS,41746
18,OTHER OFFENSE,27611
18,ROBBERY,17303
18,THEFT,108181
19,ASSAULT,32273
19,BATTERY,81877
19,BURGLARY,18735
19,CRIMINAL DAMAGE,53592
19,DECEPTIVE PRACTICE,13112
19,MOTOR VEHICLE THEFT,25208
19,NARCOTICS,63284
19,OTHER OFFENSE,28216
19,ROBBERY,18075
19,THEFT,94791
20,ASSAULT,31232
20,BATTERY,84202
20,BURGLARY,17289
20,CRIMINAL DAMAGE,56782
20,DECEPTIVE PRACTICE,10717
20,MOTOR VEHICLE THEFT,27293
20,NARCOTICS,62871
20,OTHER OFFENSE,27571
20,ROBBERY,18811
20,THEFT,84738
21,ASSAULT,28601
21,BATTERY,86188
21,BURGLARY,16723
21,CRIMINAL DAMAGE,59289
21,DECEPTIVE PRACTICE,7713
21,MOTOR VEHICLE THEFT,28494
21,NARCOTICS,61539
21,OTHER OFFENSE,25972
21,ROBBERY,19817
21,THEFT,74380
22,ASSAULT,25391
22,BATTERY,87032
22,BURGLARY,17649
22,CRIMINAL DAMAGE,64113
22,DECEPTIVE PRACTICE,6234
22,MOTOR VEHICLE THEFT,31834
22,NARCOTICS,55141
22,OTHER OFFENSE,23405
22,ROBBERY,19240
22,THEFT,73663
23,ASSAULT,22232
23,BATTERY,83035
23,BURGLARY,13710
23,CRIMINAL DAMAGE,51753
23,DECEPTIVE PRACTICE,5441
23,MOTOR VEHICLE THEFT,24294
23,NARCOTICS,41988
23,OTHER OFFENSE,19397
23,ROBBERY,18064
23,THEFT,57662
