Date,Primary Type,Arrest,Location Description,Latitude,Longitude,Year,Month,Hour
01/13/2026 11:15:00 AM,BURGLARY,False,STREET,41.787886973,-87.587846581,2026,1,11
10/21/2024 06:26:00 PM,THEFT,False,DEPARTMENT STORE,41.680692908,-87.662446079,2024,10,18
10/19/2024 05:00:00 AM,CRIMINAL DAMAGE,False,STREET,41.765444001,-87.626906181,2024,10,5
07/09/2024 03:55:00 PM,ROBBERY,False,STREET,41.735805436,-87.584004931,2024,7,15
12/06/2024 09:06:00 PM,THEFT,False,RESIDENCE,41.775193511,-87.711222148,2024,12,21
11/19/2024 09:42:00 PM,NARCOTICS,True,STREET,41.806922116,-87.654370791,2024,11,21
04/24/2025 05:30:00 PM,ASSAULT,False,STREET,41.839804007,-87.627964177,2025,4,17
10/29/2025 06:00:00 PM,MOTOR VEHICLE THEFT,False,STREET,41.896246019,-87.656407984,2025,10,18
08/22/2025 09:05:00 AM,THEFT,False,STREET,41.809208114,-87.627511298,2025,8,9
03/23/2025 09:00:00 PM,MOTOR VEHICLE THEFT,False,STREET,41.992607923,-87.67988335,2025,3,21
12/08/2025 11:00:00 PM,CRIMINAL DAMAGE,False,ALLEY,41.965599095,-87.720613772,2025,12,23
05/21/2025 12:30:00 PM,BATTERY,False,PARKING LOT / GARAGE (NON RESIDENTIAL),41.736286416,-87.62478199,2025,5,12
12/08/2025 12:04:00 PM,ASSAULT,False,STREET,41.773175037,-87.694462428,2025,12,12
10/09/2024 08:30:00 AM,BATTERY,False,NURSING / RETIREMENT HOME,41.760427566,-87.561246895,2024,10,8
10/17/2024 01:30:00 AM,MOTOR VEHICLE THEFT,False,STREET,41.851066791,-87.710105786,2024,10,1
09/20/2025 12:00:00 AM,OTHER OFFENSE,False,RESIDENCE,41.901822321,-87.633071176,2025,9,0
10/26/2024 10:15:00 PM,CRIMINAL DAMAGE,False,STREET,41.905420581,-87.649559108,2024,10,22
08/10/2024 11:00:00 AM,THEFT,False,VACANT LOT / LAND,41.796366956,-87.617644147,2024,8,11
06/02/2025 10:00:00 PM,THEFT,False,RESIDENCE,41.754308091,-87.615029402,2025,6,22
06/05/2025 09:21:00 AM,THEFT,False,STREET,41.805465782,-87.59918912,2025,6,9
05/08/2025 07:23:00 AM,MOTOR VEHICLE THEFT,False,STREET,41.996295918,-87.784090882,2025,5,7
11/02/2024 10:00:00 AM,DECEPTIVE PRACTICE,False,RESIDENCE,41.658322753,-87.544719366,2024,11,10
05/28/2025 09:25:00 PM,THEFT,False,APARTMENT,41.825705753,-87.613652178,2025,5,21
12/10/2024 04:25:00 PM,BATTERY,False,SIDEWALK,41.76006829,-87.562097869,2024,12,16
07/01/2025 06:20:00 AM,BATTERY,False,NURSING / RETIREMENT HOME,41.86557542,-87.671313862,2025,7,6
01/17/2026 04:08:00 AM,BATTERY,False,CTA BUS,41.881070732,-87.66679143,2026,1,4
08/16/2024 09:00:00 PM,THEFT,False,STREET,41.997717137,-87.690492381,2024,8,21
05/24/2025 09:00:00 AM,THEFT,False,CTA TRAIN,41.961158296,-87.652309344,2025,5,9
04/25/2025 08:00:00 PM,THEFT,False,STREET,41.845557209,-87.696264196,2025,4,20
12/03/2025 08:24:00 PM,THEFT,False,STREET,41.767805108,-87.683328051,2025,12,20
03/09/2025 03:03:00 AM,NARCOTICS,True,STREET,41.794088699,-87.631799109,2025,3,3
12/21/2025 11:35:00 AM,BATTERY,True,RESIDENCE,41.716334968,-87.593388007,2025,12,11
10/10/2024 01:27:00 PM,THEFT,False,APARTMENT,41.94116171,-87.642741424,2024,10,13
07/01/2024 09:45:00 AM,ROBBERY,False,SIDEWALK,41.884545012,-87.703761556,2024,7,9
11/07/2024 10:15:00 AM,ASSAULT,False,GROCERY FOOD STORE,41.697105657,-87.681323493,2024,11,10
04/27/2025 04:00:00 AM,THEFT,False,CTA TRAIN,41.768727829,-87.624945647,2025,4,4
02/01/2026 08:30:00 AM,DECEPTIVE PRACTICE,False,DEPARTMENT STORE,41.799490663,-87.593499384,2026,2,8
03/26/2025 04:37:00 AM,BATTERY,False,RESTAURANT,41.950615509,-87.649616689,2025,3,4
01/13/2026 09:30:00 AM,BATTERY,False,APARTMENT,41.751397971,-87.701223651,2026,1,9
10/03/2025 07:46:00 PM,WEAPONS VIOLATION,True,STREET,41.769185486,-87.625732415,2025,10,19
12/20/2024 09:09:00 PM,THEFT,False,SMALL RETAIL STORE,41.764151886,-87.683229302,2024,12,21
08/04/2024 11:00:00 AM,THEFT,False,APARTMENT,41.81811276,-87.60674129,2024,8,11
06/30/2025 11:00:00 PM,MOTOR VEHICLE THEFT,False,DRIVEWAY - RESIDENTIAL,41.713052082,-87.683107186,2025,6,23
02/15/2025 02:36:00 AM,BATTERY,False,APARTMENT,41.754732917,-87.576055481,2025,2,2
09/19/2025 07:30:00 PM,BATTERY,False,SIDEWALK,41.894896549,-87.759866952,2025,9,19
02/25/2025 04:00:00 AM,CRIMINAL DAMAGE,False,STREET,41.969648932,-87.7770904,2025,2,4
08/14/2024 07:00:00 PM,ROBBERY,False,ALLEY,41.867660093,-87.732534664,2024,8,19
07/31/2025 12:45:00 PM,BATTERY,False,ALLEY,41.790478663,-87.619117764,2025,7,12
04/27/2025 01:55:00 PM,MOTOR VEHICLE THEFT,False,ALLEY,41.97767026,-87.695316898,2025,4,13
07/03/2024 08:25:00 PM,ASSAULT,False,RESIDENCE,41.923043864,-87.759802375,2024,7,20
07/31/2024 01:00:00 AM,WEAPONS VIOLATION,False,ALLEY,41.767526575,-87.684544198,2024,7,1
02/01/2025 01:15:00 PM,ASSAULT,False,APARTMENT,41.998371665,-87.660569111,2025,2,13
06/22/2024 06:25:00 PM,BATTERY,True,CTA STATION,41.90352381,-87.66674162,2024,6,18
01/26/2025 01:45:00 AM,WEAPONS VIOLATION,True,STREET,41.962357355,-87.655528491,2025,1,1
10/16/2025 11:45:00 PM,WEAPONS VIOLATION,True,STREET,41.883603754,-87.757628691,2025,10,23
08/23/2025 05:59:00 PM,BURGLARY,False,APARTMENT,41.839104271,-87.651605007,2025,8,17
11/02/2025 11:00:00 AM,BATTERY,True,APARTMENT,41.999679671,-87.681808677,2025,11,11
07/29/2025 02:00:00 PM,THEFT,False,STREET,41.943774627,-87.831481243,2025,7,14
09/09/2025 09:10:00 PM,BURGLARY,False,APARTMENT,41.953203553,-87.670246067,2025,9,21
06/26/2025 11:00:00 PM,BATTERY,False,APARTMENT,41.782951712,-87.604362828,2025,6,23
06/16/2025 09:00:00 PM,CRIMINAL TRESPASS,False,RESIDENCE,41.870864428,-87.684928518,2025,6,21
07/04/2024 11:30:00 PM,BATTERY,False,RESIDENCE,41.875940367,-87.743821518,2024,7,23
11/26/2025 11:11:00 PM,CRIMINAL TRESPASS,False,RESIDENCE,41.718668774,-87.537700181,2025,11,23
10/23/2025 06:00:00 PM,CRIMINAL TRESPASS,False,APARTMENT,41.76806609,-87.567570258,2025,10,18
08/07/2024 12:00:00 AM,ROBBERY,False,SIDEWALK,41.750112046,-87.622973541,2024,8,0
08/16/2025 10:00:00 PM,CRIMINAL DAMAGE,False,PARKING LOT / GARAGE (NON RESIDENTIAL),41.844037382,-87.62334483,2025,8,22
07/01/2024 06:55:00 PM,CRIMINAL DAMAGE,False,ALLEY,41.731739766,-87.604704016,2024,7,18
02/02/2025 07:08:00 AM,OTHER OFFENSE,False,RESIDENCE,41.754976764,-87.55424256,2025,2,7
11/12/2025 05:00:00 PM,BURGLARY,False,APARTMENT,41.752972633,-87.550492028,2025,11,17
01/20/2025 02:07:00 AM,NARCOTICS,True,STREET,41.902621705,-87.729378515,2025,1,2
02/18/2025 12:00:00 PM,BURGLARY,False,RESIDENCE,41.728542532,-87.660955674,2025,2,12
11/26/2025 05:00:00 PM,DECEPTIVE PRACTICE,False,STREET,41.884431496,-87.663800268,2025,11,17
03/26/2025 05:00:00 PM,BURGLARY,False,APARTMENT,41.730529332,-87.604673732,2025,3,17
07/16/2025 09:00:00 PM,CRIMINAL DAMAGE,False,STREET,41.989128413,-87.743238126,2025,7,21
09/17/2025 08:00:00 AM,OTHER OFFENSE,False,RESIDENCE,41.892737253,-87.708911204,2025,9,8
08/17/2024 04:34:00 PM,ASSAULT,False,STREET,41.895405543,-87.721825091,2024,8,16
08/18/2024 06:18:00 AM,BURGLARY,False,CONVENIENCE STORE,41.736345716,-87.585636406,2024,8,6
11/01/2024 12:00:00 AM,OTHER OFFENSE,False,RESIDENCE,41.783643127,-87.697178123,2024,11,0
01/13/2026 10:00:00 AM,MOTOR VEHICLE THEFT,False,PARKING LOT / GARAGE (NON RESIDENTIAL),41.939800738,-87.678360809,2026,1,10
06/28/2024 04:00:00 PM,BATTERY,False,NURSING / RETIREMENT HOME,41.998915651,-87.67727301,2024,6,16
01/05/2025 02:15:00 AM,OTHER OFFENSE,True,COMMERCIAL / BUSINESS OFFICE,41.706312975,-87.642814175,2025,1,2
10/17/2025 05:25:00 PM,OTHER OFFENSE,False,DEPARTMENT STORE,41.779806409,-87.641131698,2025,10,17
02/24/2025 12:00:00 AM,OTHER OFFENSE,False,APARTMENT,41.780776883,-87.649671342,2025,2,0
07/16/2024 11:51:00 AM,BATTERY,False,SIDEWALK,41.772594821,-87.703695392,2024,7,11
11/01/2025 10:00:00 PM,ASSAULT,False,SIDEWALK,41.87686027,-87.743934237,2025,11,22
08/18/2024 12:01:00 AM,THEFT,False,APARTMENT,41.73828065,-87.558738591,2024,8,0
04/29/2025 02:30:00 PM,BATTERY,False,STREET,41.721053447,-87.655378049,2025,4,14
06/25/2024 03:16:00 PM,THEFT,False,STREET,41.899831012,-87.640020623,2024,6,15
05/24/2025 09:17:00 PM,BATTERY,False,APARTMENT,41.94443891,-87.736324557,2025,5,21
10/06/2024 03:30:00 AM,CRIMINAL DAMAGE,False,APARTMENT,41.892328543,-87.640520462,2024,10,3
07/16/2025 10:00:00 AM,THEFT,False,VEHICLE NON-COMMERCIAL,41.673993213,-87.619056342,2025,7,10
08/14/2025 12:00:00 AM,ASSAULT,False,RESIDENCE - PORCH / HALLWAY,41.779731416,-87.602870433,2025,8,0
09/22/2024 04:11:00 AM,CRIMINAL DAMAGE,False,STREET,41.8653429,-87.717827302,2024,9,4
06/30/2024 06:00:00 PM,THEFT,False,STREET,41.727841063,-87.642173386,2024,6,18
11/26/2025 12:00:00 AM,MOTOR VEHICLE THEFT,False,STREET,41.933128627,-87.764158954,2025,11,0
02/17/2025 08:34:00 PM,NARCOTICS,True,STREET,41.681360066,-87.62276743,2025,2,20
05/09/2025 09:00:00 AM,THEFT,False,STREET,41.895003278,-87.62152816,2025,5,9
12/22/2024 09:00:00 PM,MOTOR VEHICLE THEFT,False,STREET,41.949341014,-87.782630373,2024,12,21
08/06/2024 04:15:00 AM,ROBBERY,False,STREET,41.736801203,-87.561145235,2024,8,4
07/13/2025 07:30:00 PM,BATTERY,False,RESIDENCE - YARD (FRONT / BACK),41.812144723,-87.618231521,2025,7,19
12/29/2024 12:00:00 PM,ASSAULT,False,ALLEY,41.994519875,-87.706821036,2024,12,12
09/22/2024 05:11:00 AM,ROBBERY,False,ALLEY,41.775378785,-87.664107154,2024,9,5
10/26/2024 10:00:00 PM,THEFT,False,STREET,41.863488686,-87.622461528,2024,10,22
06/01/2025 12:01:00 AM,BATTERY,False,APARTMENT,41.777233716,-87.661719494,2025,6,0
07/17/2025 11:00:00 AM,SEX OFFENSE,False,RESIDENCE,41.751767947,-87.648923798,2025,7,11
12/30/2024 04:29:00 AM,CRIMINAL DAMAGE,False,CTA BUS,41.867405488,-87.627925177,2024,12,4
02/28/2025 12:00:00 AM,DECEPTIVE PRACTICE,False,STREET,41.873404118,-87.705905027,2025,2,0
02/15/2025 12:20:00 PM,ASSAULT,False,RESIDENCE,41.783868382,-87.694744943,2025,2,12
11/27/2024 04:03:00 PM,CRIMINAL DAMAGE,False,ALLEY,41.745828852,-87.602082242,2024,11,16
11/16/2025 11:07:00 PM,BATTERY,False,APARTMENT,41.777584392,-87.613145578,2025,11,23
02/20/2025 06:00:00 PM,BATTERY,False,CTA PLATFORM,41.885879253,-87.630979425,2025,2,18
12/23/2024 12:00:00 PM,DECEPTIVE PRACTICE,False,OTHER (SPECIFY),41.690640989,-87.605164338,2024,12,12
09/18/2025 12:00:00 AM,THEFT,False,STREET,41.96910508,-87.653625718,2025,9,0
07/21/2025 12:05:00 AM,CRIMINAL DAMAGE,False,ALLEY,41.89885211,-87.672263224,2025,7,0
07/23/2025 07:00:00 PM,BATTERY,False,APARTMENT,41.891948167,-87.628073894,2025,7,19
08/10/2025 10:00:00 PM,THEFT,False,RESIDENCE - YARD (FRONT / BACK),41.800570689,-87.633147751,2025,8,22
09/04/2025 11:00:00 PM,THEFT,False,PARKING LOT / GARAGE (NON RESIDENTIAL),41.928822325,-87.687781609,2025,9,23
11/26/2025 01:45:00 PM,THEFT,False,RESIDENCE - YARD (FRONT / BACK),41.742397146,-87.584408309,2025,11,13
07/12/2025 08:43:00 PM,THEFT,False,SIDEWALK,41.791669564,-87.671803526,2025,7,20
09/06/2024 02:03:00 PM,CRIMINAL TRESPASS,True,APARTMENT,41.924949019,-87.684160693,2024,9,14
08/15/2024 12:00:00 PM,DECEPTIVE PRACTICE,False,APARTMENT,41.90708641,-87.721570357,2024,8,12
03/30/2025 03:38:00 AM,BATTERY,False,STREET,41.836743058,-87.704810078,2025,3,3
10/08/2025 08:15:00 PM,BATTERY,False,SIDEWALK,41.809006703,-87.611440233,2025,10,20
10/15/2024 12:00:00 AM,THEFT,False,HOSPITAL BUILDING / GROUNDS,41.770020864,-87.6913338,2024,10,0
12/29/2024 10:00:00 AM,DECEPTIVE PRACTICE,False,APARTMENT,41.905867194,-87.666236006,2024,12,10
10/08/2024 07:58:00 PM,MOTOR VEHICLE THEFT,False,VEHICLE NON-COMMERCIAL,41.996801195,-87.67414936,2024,10,19
10/12/2025 05:30:00 PM,MOTOR VEHICLE THEFT,False,STREET,41.937281688,-87.803959449,2025,10,17
07/22/2024 11:48:00 AM,THEFT,False,OTHER (SPECIFY),41.829658419,-87.650204535,2024,7,11
08/01/2024 12:00:00 AM,DECEPTIVE PRACTICE,False,APARTMENT,41.843016958,-87.61722727,2024,8,0
06/26/2024 01:47:00 AM,THEFT,False,GAS STATION,41.899564734,-87.676413943,2024,6,1
11/06/2025 10:17:00 AM,THEFT,False,APARTMENT,41.914130605,-87.653228363,2025,11,10
11/17/2024 06:29:00 AM,HOMICIDE,False,STREET,41.720415793,-87.649655847,2024,11,6
05/25/2025 10:20:00 AM,ASSAULT,False,GAS STATION,41.874189631,-87.701021254,2025,5,10
01/12/2026 12:00:00 AM,CRIMINAL DAMAGE,False,APARTMENT,41.858627937,-87.671958178,2026,1,0
10/29/2024 12:00:00 AM,DECEPTIVE PRACTICE,False,OTHER (SPECIFY),41.849173995,-87.717365709,2024,10,0
11/04/2024 06:21:00 PM,BATTERY,False,APARTMENT,41.896096883,-87.72488546,2024,11,18
07/05/2024 08:30:00 PM,THEFT,False,DEPARTMENT STORE,41.868541914,-87.639235361,2024,7,20
01/14/2025 06:00:00 PM,MOTOR VEHICLE THEFT,False,STREET,41.783340761,-87.605993706,2025,1,18
08/20/2024 05:41:00 PM,HOMICIDE,False,STREET,41.758092329,-87.633682992,2024,8,17
07/22/2025 01:45:00 PM,DECEPTIVE PRACTICE,False,SIDEWALK,41.95412966,-87.680530214,2025,7,13
11/21/2025 02:50:00 AM,CRIMINAL DAMAGE,False,STREET,41.92343981,-87.710438195,2025,11,2
01/06/2026 04:06:00 PM,BATTERY,False,GROCERY FOOD STORE,41.779004438,-87.701003946,2026,1,16
07/26/2025 04:25:00 PM,THEFT,False,PARKING LOT / GARAGE (NON RESIDENTIAL),41.837261532,-87.607930197,2025,7,16
11/27/2025 03:16:00 AM,CRIMINAL DAMAGE,False,STREET,41.958458905,-87.651999841,2025,11,3
09/04/2025 02:00:00 PM,THEFT,False,APARTMENT,41.914338356,-87.634808141,2025,9,14
01/24/2025 06:30:00 PM,MOTOR VEHICLE THEFT,False,STREET,41.986941598,-87.660950625,2025,1,18
11/26/2024 06:00:00 PM,CRIMINAL SEXUAL ASSAULT,False,APARTMENT,41.735046996,-87.554146398,2024,11,18
05/12/2025 05:00:00 PM,ASSAULT,False,APARTMENT,41.673548279,-87.616795523,2025,5,17
02/20/2025 07:19:00 PM,PUBLIC PEACE VIOLATION,True,SIDEWALK,41.895422643,-87.720399814,2025,2,19
10/02/2025 12:00:00 AM,OTHER OFFENSE,False,RESIDENCE,41.913232764,-87.749904297,2025,10,0
